の,of,no
岩石,rock,ganseki
幕僚,staff,bakuryou
点火,ignition,tenka
韻,rhyme,in
釈迦,Buddha,shaka
性別,sex,seibetsu
毎日新聞,Mainichi Shimbun,mainichishinbun
法華,Hokke,hou hana
大まか,rough,oomaka
準急,Local express,junkyuu
膨張,expansion,bouchou
出仕,Attendance,shutsu shi
国定,National,kokutei
攻防,Offense and defense,koubou
セルゲイ,Sergei,serugei
満たない,Less than,mita nai
片山,Katayama,katayama
組長,Boss,kumichou
転居,Moving,tenkyo
憲章,Charter,kenshou
ケニア,Kenya,kenia
恵比須,Ebisu,ebisu
付録,appendix,furoku
淀,Dian,yodo
デイヴィス,Davis,deivisu
主婦,housewife,shufu
代名詞,Pronoun,daimeishi
進言,Advised,shingen
潰す,Smash,tsubusu
野山,Hills and fields,noyama
飽和,Saturation,houwa
キン肉マン,Kinnikuman,kin niku man
黎明,Dawn,reimei
粗筋,Summary,arasuji
苑,Garden,en
英名,Fame,ei mei
王権,Royalty,ou ken
生駒,Ikoma,ikoma
カエサル,Caesar,kaesaru
カルロ,Carlo,karuro
崇拝,worship,suuhai
リヨン,Lyon,riyon
召す,Catch a cold,mesu
スカート,skirt,sukaato
クリミア,Crimea,kurimia
激突,Clash,gekitotsu
ソフィア,Sofia,sofia
トリック,trick,torikku
原画,Original picture,genga
幼年,childhood,younen
北見,Kitami,kitami
サンプル,sample,sanpuru
支那,China,shina
熱狂,Fever pitch,nekkyou
直下,Directly under,chokuka
年下,younger,toshishita
マヌエル,Manuel,manueru
辞書,dictionary,jisho
沸く,Boil,waku
初心,Original intention,shoshin
五月,May,gogatsu
グッド,good,guddo
名高い,Famous,nadakai
民家,Private house,minka
銘打つ,Meiutsu,meiutsu
致命,Fatal,chimei
カジノ,casino,kajino
のび太,Nobita,nobi ta
ぶる,", Slowing",buru
版画,Engraving,hanga
ニュートン,Newton,nyuuton
益々,More,masumasu
絵師,artist,eshi
酷,Cruel,koku
脱落,drop out,datsuraku
膨らむ,Swell,fukuramu
ブランデンブルク,Brandenburg,burandenburuku
コンサルタント,consultant,konsarutanto
デビッド,David,debiddo
触れ合う,Touch,fure au
実子,Biological child,jisshi
各所,Various places,kakusho
停滞,Stagnation,teitai
土井,Doi,tsuchii
物流,logistics,butsuryuu
用,for,you
肝,liver,kimo
鞠,ball,mari
養父,Adoptive father,youfu
二輪,Two wheel vehicle,nirin
サスペンス,Suspense,sasupensu
渦,Swirl,uzu
荒木,Araki,araki
籠る,Seclude oneself,komoru
ギャング,gang,gyangu
チューリッヒ,Zurich,chuurihhi
ナレーター,narrator,nareetaa
門人,His students,mon nin
着目,Attention,chakumoku
ステンレス,stainless,sutenresu
クリエイティブ,creative,kurieiteibu
汽車,Train,kisha
対談,Talk,taidan
仕立てる,tailor,shitate ru
克服,Overcome,kokufuku
有害,Harmful,yuugai
歪む,It is distorted,hizumu
堀江,Horie,horie
特記,Special mention,tokki
生誕,birth,seitan
テクニック,Technique,tekunikku
トレーナー,trainer,toreenaa
国分,Kokubu,kokubun
河南,Henan,kanan
語彙,vocabulary,goi
久保田,Kubota,kubota
民政,Civil government,minsei
キャッチフレーズ,Catchphrase,kyatchifureezu
クラフト,Craft,kurafuto
貞観,Jogan,tei kan
締める,Fasten,shime ru
バレンシア,Valencia,barenshia
スクエア,Square,sukuea
カンヌ,Cannes,kannu
杉並,Suginami,suginami
フランチェスコ,Francesco,furanchesuko
サントリー,Suntory,santorii
立教,Rikkyo,rikkyou
潜在,Latency,senzai
発令,Official announcement,hatsurei
将兵,Officers and men,shou hei
入り江,Cove,irie
トーン,tone,toon
ビジョン,vision,bijon
手動,Manual,shudou
ロビンソン,Robinson,robinson
ひさ,Hisa,hisa
浅井,Asai,asai
ボルチモア,Baltimore,boruchimoa
フィン,fin,fin
シップ,Ship,shippu
振り返る,look back,furikaeru
弱体,Weakened,jakutai
果たせる,Play,hata seru
双葉,Futaba,futaba
天地,Heaven and earth,tenchi
追い付く,catch up,oitsuku
頭取,President,toudori
ベンツ,Benz,bentsu
ペリー,Perry,perii
デスクトップ,desktop,desukutoppu
山村,Yamamura,sanson
幾,Several,ki
慣例,Convention,kanrei
ラスベガス,Las Vegas,rasubegasu
キプロス,Cyprus,kipurosu
破れる,Broken,yabure ru
綺麗,Pretty,kirei
帝政,Imperial government,teisei
励む,Endeavor,hagemu
原点,origin,genten
デッド,dead,deddo
ポップス,Pops,poppusu
日報,Daily report,nippou
イエロー,yellow,ieroo
イエズス,Jesus,iezusu
私的,private,shiteki
音色,Timbre,neiro
頓挫,Abortive,tonza
三原,Mihara,mihara
串,Skewer,kushi
大胆,Daring,daitan
チャーリー,Charlie,chaarii
敢行,Decisive action,kankou
万国,Universal,bankoku
カザフスタン,Kazakhstan,kazafusutan
革,leather,kawa
売店,Shop,baiten
東京電力,Tokyo Electric Power Co.,toukyoudenryoku
マウンテン,Mountain,maunten
ハリケーン,Hurricane,harikeen
ベンジャミン,Benjamin,benjamin
伝播,propagation,denpa
日比谷,Hibiya,hibiya
食物,food,tabemono
低温,low temperature,teion
原動,Motive,gendou
取り止める,Abandoning,toriyame ru
承諾,Consent,shoudaku
ヘア,hair,hea
キャンベル,Campbell,kyanberu
呪い,curse,noroi
陶器,Pottery,touki
越中,Etchu,etchuu
フィッシャー,Fisher,fisshaa
大火,Large fire,taika
議院,Parliament,giin
猶予,Postponement,yuuyo
浸水,Inundation,shinsui
用法,Usage,youhou
ディフェンダー,Defender,difendaa
害,harm,gai
停泊,Anchorage,teihaku
最期,Last moment,saigo
ユニーク,unique,yuniiku
ラック,rack,rakku
屋上,rooftop,okujou
布教,Missionary,fukyou
言わば,So to speak,iwa ba
対局,The remote station,taikyoku
メモリアル,Memorial,memoriaru
ウォー,War,uoo
志望,Wish,shibou
啓蒙,enlightenment,keimou
連鎖,chain,rensa
鶴岡,Tsuruoka,tsuruoka
転倒,Turnover,tentou
クローン,clone,kuroon
含有,Contain,ganyuu
寄港,Ports of call,kikou
神楽,Shinto music,kagura
論者,Advocate,ronsha
カクテル,Cocktail,kakuteru
大納言,Dainagon,dainagon
上原,Uehara,uehara
モスク,Mosque,mosuku
申,Monkey,saru
草津,Kusatsu,kusatsu
住職,Chief priest,juushoku
ショーン,Sean,shoon
絆,bonds,kizuna
テッド,Ted,teddo
別途,Special,betto
片仮名,Katakana,katakana
里見,Satomi,satomi
金色,Golden color, kiniro
完璧,Perfection,kanpeki
御互い,Please each other,otagai
敦賀,Tsuruga,tsuruga
商法,Commercial law,shouhou
別当,Equerry,bettou
北斗,Hokuto,hokuto
新宮,Shingu,shinguu
対比,Comparison,taihi
ノルディック,Nordic,norudikku
阻む,Hinder,habamu
磁場,magnetic field,jiba
閉塞,Blockage,heisoku
浄土,Pure Land,joudo
ニーズ,needs,niizu
ヘルメット,Helmet,herumetto
行き来,Coming and going,ikiki
リフト,lift,rifuto
扮する,Dressed to,funsu ru
ローテーション,rotation,rooteeshon
余る,Surplus,amaru
東名,Tomei,toumei
ファーム,farm,faamu
ダッシュ,dash,dasshu
メルボルン,Melbourne,meruborun
星座,sign,seiza
本丸,Inner citadel,honmaru
テクノ,techno,tekuno
演芸,Entertainment,engei
緯度,latitude,ido
讃岐,Sanuki,sanuki
着ける,wear,tsuke ru
粟,millet,awa
偶数,Even number,guusuu
天野,Amano,amano
解読,Deciphering,kaidoku
遺す,Bequeath,nokosu
速報,Prompt report,sokuhou
公示,Public announcement,kouji
水質,Water quality,suishitsu
フォト,photo,foto
ベッド,bed,beddo
驚異,Wonder,kyoui
大原,Ohara,oohara
マクドナルド,McDonald's,makudonarudo
祈願,Prayer,kigan
童話,Fairy tale,douwa
西北,Northwest,seihoku
出向,Seconded,shukkou
吉村,Yoshimura,yoshimura
国名,Country name,kokumei
様相,aspect,yousou
ヨ,Yo,yo
スパルタ,Sparta,suparuta
いわき,Iwaki,iwaki
スタンフォード,Stanford,sutanfoodo
取って代わる,Supersede,totsu te kawa ru
代理人,Attorney,dairinin
日立製作所,"Hitachi, Ltd.",hitachiseisakusho
神父,Catholic priest,shinpu
笛,Flute,fue
知人,acquaintance,chijin
部会,Group,bukai
クロード,Claude,kuroodo
ブンデスリーガ,Bundesliga,bundesuriiga
ハリス,Harris,harisu
鉄鋼,Iron and steel,tekkou
食材,Foodstuff,shokuzai
ぶれる,Be blurred,bureru
アンソニー,Anthony,ansonii
イヴァン,Ivan,ivan
イーグルス,Eagles,iigurusu
鳴らす,Sound,nara su
スペック,spec,supekku
擲弾,Grenade,tekidan
多項式,Polynomial,takoushiki
リール,reel,riiru
枕,pillow,makura
ランナー,runner,rannaa
独身,Single,dokushin
休憩,break,kyuukei
賞典,Shoten,shou ten
ヒール,Heel,hiiru
ヘクタール,Hectare,hekutaaru
通達,Notification,tsuutatsu
雑,Crude,zatsu
執り行う,Hold a ceremony,toriokonau
サウジアラビア,Saudi Arabia,saujiarabia
洗練,Sophisticated,senren
知恵,wisdom,chie
包装,Packing,housou
リスボン,Lisbon,risubon
人道,Humanity,jindou
世俗,Worldliness,sezoku
台帳,Ledger,daichou
スクロール,scroll,sukurooru
ノイズ,noise,noizu
肺炎,pneumonia,haien
竹田,Takeda,takeda
炎上,Burst into flames,enjou
再戦,rematch,saisen
毛皮,fur,kegawa
工法,Method of construction,kouhou
照準,Alignment,shoujun
編む,Knit,amu
フレーズ,Phrase,fureezu
ボビー,Bobby,bobii
決算,Settlement of accounts,kessan
一期,First phase,ikki
ベオグラード,Belgrade,beoguraado
スポーツカー,sports car,supootsukaa
ヘブライ語,Hebrew,heburai go
永田,Nagata,nagata
干す,Dry,hosu
溶接,welding,yousetsu
流星,meteor,ryuusei
留守,Absence,rusu
クライマックス,climax,kuraimakkusu
奪回,Recapture,dakkai
劣化,deterioration,rekka
一転,Turn,itten
協賛,Sponsorship,kyousan
産物,product,sanbutsu
ファイア,fire,faia
ブラン,Blanc,buran
浪人,Ronin,rounin
邦題,Japanese title given to foreign work,houdai
鞭,Whip,muchi
助演,Co-star,joen
反省,Reflection,hansei
未完,Unfinished,mikan
三菱電機,Mitsubishi Electric,mitsubishidenki
執政,Consul,shissei
門司,Moji,moji
仲良し,A good friend,nakayoshi
最短,shortest,saitan
セクション,section,sekushon
急逝,Sudden death,kyuusei
疲労,fatigue,hirou
西山,Nishiyama,nishiyama
討論,Debate,touron
アームストロング,Armstrong,aamusutorongu
欠陥,defect,kekkan
市区,Municipal district,shiku
内包,Comprehension,naihou
仮称,Temporary name,kashou
グレン,Glen,guren
マルク,Marc,maruku
ブダペスト,Budapest,budapesuto
宣戦,Declaration of war,sensen
織物,fabric,orimono
満洲,Manchuria,man su
エンジェル,Angel,enjieru
増田,Masuda,masuda
拡充,Expansion,kakujuu
モリス,Morris,morisu
打線,Baseball lineup,dasen
新築,New construction,shinchiku
時速,Speed,jisoku
省庁,The ministry,shouchou
養老,Yoro,yourou
ケルト,Celtic,keruto
キャサリン,Catherine,kyasarin
アニメーター,animator,animeetaa
たとえ,for example,tatoe
常識,common sense,joushiki
均衡,Balance,kinkou
遊撃手,shortstop,yuugekishu
熱い,hot,atsui
アーノルド,Arnold,aanorudo
根強い,Deep-seated,nezuyoi
概説,An overview,gaisetsu
度重なる,repeated,tabikasana ru
速力,speed,sokuryoku
臭,Odor,shuu
プロトタイプ,prototype,purototaipu
ナイジェリア,Nigeria,naijieria
罷免,Dismissal,himen
馬主,Owner,bashu
面会,Interview,menkai
隙間,Gap,sukima
ピース,piece,piisu
ブレーブス,Braves,bureebusu
キャロル,Carol,kyaroru
走者,runner,sousha
穏やか,Calm,odaya ka
若狭,Wakasa,wakasa
手当て,allowance,teate
レンジャーズ,Rangers,renjaazu
ボーリング,Bowling,booringu
諮問,Inquiry,shimon
サターン,Saturn,sataan
回送,Forwarding,kaisou
恋する,love,koisuru
御用,Patronized,goyou
シンシナティ,Cincinnati,shinshinatei
っと,Innovation,tto
親戚,Relative,shinseki
引っ越す,move,hikkosu
沼田,Numata,numata
急ぐ,Hurry,isogu
レコーダー,recorder,rekoodaa
餅,Mochi,mochi
追い出す,Expel,oidasu
為替,exchange,kawase
美女,Beautiful woman,bijo
脅かす,threaten,kyou kasu
そういった,Such a,souitta
ゴート,Goat,gooto
フランコ,Franco,furanko
校名,School name,koumei
北村,Kitamura,kitamura
地蔵,Jizo,jizou
惨敗,Crushing defeat,zanpai
伊集院,Ijuin,ijuuin
カーター,Carter,kaataa
足す,Add,tasu
退去,Leave,taikyo
祇園,Gion,gion
空白,Space,kuuhaku
青銅,bronze,seidou
官庁,Authorities,kanchou
健全,Health,kenzen
文脈,context,bunmyaku
水溶,Water,mizu you
国交,Diplomatic relations,kokkou
ランス,Lance,ransu
ロビー,lobby,robii
尼子,Amako,amako
音節,syllable,onsetsu
軍務,Military service,gun tsutomu
イスタンブル,Istanbul,isutanburu
転戦,Formula One Championships,tensen
連想,Associative,rensou
醤油,soy sauce,shouyu
マカオ,Macau,makao
ドキュメント,document,dokyumento
江東,Koto,koutou
待避,Saved,taihi
黄色い,yellow,kiiroi
返済,repayment,hensai
竹中,Takenaka,takenaka
組曲,Suite,kumikyoku
マニア,Mania,mania
ティム,Tim,teimu
アダムズ,Adams,adamuzu
インク,ink,inku
ストン,Ston,suton
ミッドウェー,Midway,middouee
揶揄,Banter,yayu
定まる,Be determined,sadama ru
尊氏,Takauji,takauji
小西,Konishi,konishi
シッカリ,Firmly,shikkari
駄目,Useless,dame
ニコラ,Nikola,nikora
増幅,amplification,zoufuku
学期,semester,gakki
水銀,mercury,suigin
上総,Kazusa,kazusa
鳴門,Naruto,naruto
間違える,mistake,machigae ru
返り咲く,Come back,kaeri saku
アルフォンソ,Alfonso,arufonso
拷問,torture,goumon
沼津,Numazu,numazu
大木,large tree,taiboku
ステュアート,Stuart,suteyuaato
譲り受ける,Acquired,yuzuriuke ru
売上高,amount of sales,uriagedaka
全勝,Complete victory,zenshou
ヴァル,Val,varu
スライダー,slider,suraidaa
火事,fire,kaji
花園,Flower garden,hanazono
賄う,Pay,makanau
レッスン,lesson,ressun
史実,Historical fact,shijitsu
決済,settlement,kessai
母校,alma mater,bokou
ピラミッド,pyramid,piramiddo
ヒント,Hints,hinto
車軸,axle,shajiku
召喚,Summons,shoukan
幽霊,ghost,yuurei
平山,Hirayama,hirayama
乱れる,Be disturbed,midare ru
レイカーズ,Lakers,reikaazu
大好き,I love You,daisuki
勇者,Brave,yuusha
クリエイター,creator,kurieitaa
景勝,Picturesque scenery,keishou
解像度,resolution,kaizoudo
砲台,Battery,houdai
泡,foam,awa
蔓,Vine,tsuru
ジェーン,Jane,jieen
取り囲む,surround,tori kakomu
嫌,Unpleasant,iya
十字架,cross,juujika
原油,crude oil,genyu
同志,Comrade,doushi
広範,Extensive,kouhan
本校,This school,honkou
貝塚,Shell mound,kaizuka
閣議,Cabinet meeting,kakugi
ジャガー,Jaguar,jagaa
コンポーネント,component,konpoonento
退位,Abdication,taii
連行,Taking,renkou
素数,Prime numbers,sosuu
耐性,Resistance,taisei
株価,Stock Price,kabuka
大平,Ohira,oohira
アワード,Awards,awaado
カスタム,custom,kasutamu
突出,Protrusion,tosshutsu
儀礼,Courtesy,girei
公害,Pollution,kougai
強大,Mighty,kyoudai
ヘヴィ,Heavy,hevi
自害,Suicide,jigai
雲南,Yunnan,unnan
新星,Nova,shinsei
ロマンス,Romance,romansu
天狗,Braggart,tengu
帰化,Naturalization,kika
毎時,Hourly,maiji
クレイ,Clay,kurei
マスターズ,Masters,masutaazu
スローガン,slogan,suroogan
ニール,Neil,niiru
ハイウェイ,highway,haiuei
ポニーキャニオン,Pony Canyon,poniikyanion
損,loss,son
急く,Section,seku
橋上,On bridge,hashigami
主たる,main,shuta ru
酢酸,Acetic acid,sakusan
筒井,Tsutsui,tsutsui
発砲,Firing,happou
仇,Revenge,ada
椎名,Shiina,shiina
汁,juice,shiru
新鋭,State-of-the-art, shinei
団員,Group member, danin
桑名,Kuwana,kuwana
次いで,Subsequently,tsuide
妥当,Reasonable,datou
テンポ,tempo,tenpo
ベータ,beta,beeta
壁画,Mural,hekiga
島村,Shimamura,shimamura
共鳴,Resonance,kyoumei
押し出す,Extruded,oshidasu
劇作家,Playwright,gekisakka
スリランカ,Sri Lanka,suriranka
ブリティッシュ,British,buriteisshu
天守,Castle tower,ten shu
照射,Exposure,shousha
物産,Bussan,bussan
おはよう,Good morning,ohayou
没落,downfall,botsuraku
タイガー,Tiger,taigaa
マルティン,Martin,marutein
長州藩,Choshu clan,choushuu han
苗,Seedlings,nae
牛乳,milk,gyuunyuu
本島,Main island,hon shima
例える,compare,tatoe ru
センス,sense,sensu
観念,Idea,kannen
農園,Plantation,nouen
高句麗,Koguryo,taka ku rei
クレる,Give,kureru
八尾,Yao,yao
バナナ,banana,banana
成虫,Adults,seichuu
開会,Opening,kaikai
禁ずる,Ban,kinzu ru
佐倉,Sakura,sakura
少しずつ,little by little,sukoshi zutsu
ペーパー,paper,peepaa
一生,lifetime,isshou
反逆,Treason,hangyaku
移封,Utsurifu,i fuu
省令,Ministerial ordinance,shourei
運転手,driver,untenshu
手配,Arrangement,tehai
探る,explore,saguru
ジャワ,Java,jawa
コンチネンタル,Continental,konchinentaru
豪雨,Heavy rain,gouu
町並み,Streets,machinami
秋季,Autumn,shuuki
字体,Font,jitai
原告,plaintiff,genkoku
リンパ,lymph,rinpa
強行,Forced,kyoukou
月面,Moon's surface,getsumen
衣服,clothes,ifuku
詠む,Chant,yomu
独奏,solo,dokusou
画質,image quality,gashitsu
レパートリー,repertoire,repaatorii
ロータス,Lotus,rootasu
旧式,Old style,kyuushiki
低速,Slow speed,teisoku
共々,together,tomodomo
消息,News,shousoku
相場,Market price,souba
考,Remarks,kou
無駄,Useless,muda
ローマ字,Roman letters,rooma ji
嫌い,Hate,kirai
山川,Mountains and rivers,yamakawa
代議員,Delegate,daigiin
腐敗,corruption,fuhai
流体,fluid,ryuutai
パーカー,Parker,paakaa
マフィア,mafia,mafia
淀川,Yodogawa,yodogawa
孵化,hatching,fuka
救命,Lifesaving,kyuumei
プエルトリコ,Puerto Rico,puerutoriko
アレクサンドリア,Alexandria,arekusandoria
ジョヴァンニ,Giovanni,jovanni
泳ぐ,swim,oyogu
遊牧,Nomadism,yuuboku
ハイデルベルク,Heidelberg,haideruberuku
気球,balloon,kikyuu
エーカー,acre,eekaa
コンパイラ,compiler,konpaira
